Wavelength,Amber 595-600nm,Blue 460-470nm,"Cool White 10,000-15,000K",Cyan 490nm,Deep Red 660nm,Far Red 730nm,Full Spectrum 380-840nm,Green 520-525nm,Infrared 850nm,Infrared 940nm,Natural White 4000 - 4500K,Orange 600-605nm,Red 620-625nm,Royal Blue 440nm,UV 365nm,UV 370nm,UV 375nm,UV 380nm,UV 385nm,UV 395nm,UV 400nm,UV 405nm,UV 410nm,UV 425nm,Warm White 3000 - 3500K,White 6000 - 6500K,Yellow 590-595nm
211,0.0006,0.0001,0.0002,0.0003,0.0011,0.0039,0.0021,0.0021,0.0001,0.0014,0.0012,0.0011,0.0003,-0.0017,0.0035,0.0019,-0.0006,0.0006,0.0012,-0.0025,0.0015,-0.001,0.0004,-0.0018,0.0018,0.0009,0.001
211,-0.0014,-0.0001,0.0036,-0.0008,-0.0002,-0.0004,-0.0003,-0.0007,0.0018,-0.0026,0.0014,0.0013,-0.0003,0.0012,-0.0027,-0.0029,0.0012,-0.0013,0.0005,-0.0023,0.0005,0.0015,0.001,-0.0014,0.0001,0.0007,0.0009
211,0.0007,0.0031,-0.0016,0.0008,0.0017,0.0032,0,0.003,-0.0001,0.0018,0.0022,0.001,0.0019,0.0002,-0.0002,-0.0005,-0.0021,0.0006,0.0022,0.0012,0.0017,0.0007,0.0009,0.0012,0.0007,0.0022,0.0015
211,-0.0004,-0.0012,0.0038,0.0008,-0.0021,-0.001,0.0012,-0.0014,-0.0006,-0.0004,-0.0003,0.0003,-0.0002,-0.0004,0.0002,0.0001,-0.0023,0.0027,0.0011,-0.0004,-0.0004,-0.0004,0.001,-0.0011,0,0.0025,0.0026
211,-0.0025,0.0011,0.0016,0.0028,0.0007,0.0025,-0.0004,0.0007,0.0005,0.0003,0.0025,0.002,0.0017,0.0001,0.003,-0.0001,0.0008,0.0009,0,0.0036,-0.0004,-0.0004,0.0012,0,-0.0008,0.0038,-0.0013
212,-0.0004,-0.0006,0.0011,0.0028,0.002,0.0032,0.0014,0.0006,0,-0.0001,-0.0002,0.0025,-0.0001,-0.001,-0.0008,-0.0006,0.0022,0.0013,0,-0.0019,-0.0003,-0.0034,-0.0007,-0.0006,-0.0015,0.0025,0.0006
212,-0.0002,0.0013,0.0013,0.0011,0.0032,0.0014,0.002,0.0019,-0.0003,-0.0005,0.0004,-0.0005,0.0007,0.0003,-0.0006,0.0001,-0.0026,0.0011,0.0012,0.0007,0.0029,0.0015,-0.001,-0.0017,0.0001,0.0012,0.0025
212,-0.001,0.0013,0.0011,0.0003,-0.0011,0.0009,0.0015,0.0003,-0.0005,-0.0003,0.0037,0.0001,0.0021,0.0007,0.0008,0.0004,-0.0009,0.0018,-0.0001,0.0007,-0.0005,-0.0013,-0.0007,-0.0032,0.0015,-0.0003,0.0011
212,0.0012,0.0017,0.0025,0.0002,0.002,0.0007,0.0029,0.0008,-0.0005,0.0019,-0.0003,-0.0002,0.0013,0.0025,0.0022,0.0022,-0.0008,-0.0004,-0.0002,0.0001,0,-0.0007,0.001,-0.0012,-0.0009,0.0019,0.0011
212,-0.0005,-0.0001,0.0012,0.0007,-0.001,0.0014,-0.0016,0.0023,0.0017,-0.001,-0.0032,0.0013,0.0017,-0.0028,-0.002,-0.0023,-0.0015,0,-0.0017,-0.0022,0.0008,-0.002,-0.0003,0,-0.0002,0.0001,0.0001
213,0.0008,0.0038,0.0018,0.0025,0.0011,0.0041,0.005,0.0019,0.0019,0.0035,0.003,0.0016,-0.0016,0.0008,0.0031,0.0011,-0.0004,0.0007,0.0004,0.0016,-0.0014,0.0005,0.0023,0.0001,0.0039,0.0038,0.001
213,-0.0012,-0.001,0.0006,0.0008,0.0004,0,0.0025,-0.0015,-0.0012,-0.0021,0.0003,-0.0004,-0.0001,-0.0001,-0.0015,-0.0013,-0.003,-0.0004,0.0008,-0.0008,-0.0001,-0.0005,0.0027,0.0013,0.0014,0.0011,0.0016
213,0.0007,-0.0025,0.0008,0.0026,-0.0005,0.0027,0.0023,0.0007,0.001,0.0018,0.0024,0.0016,0.0002,0.0016,-0.0013,-0.0007,-0.0013,0.0016,0.0007,0.0007,-0.0014,0.001,0.0034,-0.0003,0,0.003,0.0047
213,-0.001,0,-0.0009,-0.0008,0.0029,-0.0008,0.0016,-0.0002,-0.0008,0.0002,0.0022,-0.0014,-0.0002,-0.001,-0.0013,-0.0005,0.0021,-0.0004,0.0006,-0.001,0.0009,0.0006,-0.0003,-0.0021,0.0009,0,0.0024
213,-0.0008,0.0005,0.0011,0.0007,0.0024,0.0028,-0.0012,-0.0012,0.0018,0.0003,0.0006,0.0027,-0.0005,0.0002,0.0013,-0.0015,-0.0009,0.0012,-0.0003,0.0001,-0.0008,-0.0024,0.0009,0.0006,0.0019,0.0025,0.0017
214,-0.0009,0.001,-0.0012,-0.0003,0,0.0002,-0.0003,0.0017,-0.0019,-0.0004,0.0012,0.0022,-0.0004,-0.0003,-0.0021,0,-0.0029,-0.0031,-0.0009,-0.0028,-0.0025,-0.0013,-0.0023,-0.0011,-0.0006,0.0012,0.0001
214,-0.0012,0.0008,0.0027,0.0022,-0.0002,-0.0004,0.0029,0.0022,0.0015,-0.0001,0.0021,0.0006,0.0018,0.0016,0.0017,0.0025,0.0012,0,0.0004,0.0001,-0.001,0.0024,0.0017,0.0011,0.001,0.001,0.0026
214,-0.0017,0.0002,-0.0007,-0.0002,-0.0014,0.0014,0.0019,0.0012,-0.001,0.0016,-0.0003,0.0002,0.0003,-0.0002,0.0008,-0.0009,-0.0002,-0.0007,0.0035,-0.0008,-0.0008,-0.0014,-0.0011,-0.0013,-0.001,0.0008,-0.0016
214,-0.0012,0.0017,0.0017,0.0006,0.0008,0.0013,0.0034,0.0009,-0.0011,-0.0001,-0.0006,0.0008,0.0023,0.0012,0.0011,0.0026,0.0001,0.0024,0.0004,0.0015,0.0025,0.0023,0.0004,-0.0018,0.002,0.0002,-0.001
214,-0.002,0.0009,0.0023,0.0023,0,0.0036,0.0016,-0.0008,-0.0019,0.0023,0.0009,0.0001,0,-0.002,0.0009,-0.0011,-0.0012,0.0011,-0.0003,-0.0012,-0.0018,0.0008,0.0018,-0.0027,-0.0013,0.001,-0.0013
215,-0.0004,0.0014,0.0012,0.0022,0.0005,0.0008,0.0038,0.002,0.0031,0.0011,0.0004,-0.0001,0.0015,0.0007,0.0026,-0.0005,0.0016,0.0021,0.0022,0.0007,0.0009,-0.0032,0.0028,-0.0014,-0.0008,-0.0003,0.0017
215,-0.0001,0.0012,-0.001,0.002,-0.0015,0.0006,0.002,0.001,-0.0013,0.0016,-0.0023,0.0008,0.0015,0.0002,-0.0002,0.001,-0.0017,0.0004,-0.001,-0.0025,0.0004,0.0009,-0.0026,0.0008,0.0003,0.0015,0.0004
215,0.0002,-0.0011,0,0.0013,0.0011,0.0028,-0.0005,-0.0004,-0.0007,0.0013,0.0006,0.0022,0.0027,0.0031,-0.0005,0.001,0.0012,0.0002,0.0019,0.001,0.0026,-0.0006,-0.0015,-0.0003,0.0007,0.0013,0.0011
215,0.0002,0.0025,-0.0012,0.0009,0.0007,0.0006,0.0006,0,-0.0003,-0.0012,0.0013,0.0001,0.0013,-0.0005,0.0003,0.0011,-0.0006,-0.002,0.0003,-0.0003,-0.0009,-0.0032,-0.0017,-0.0003,-0.0011,0.0026,0.003
215,0.0034,0.0018,0.0027,0.0024,0.0016,0.0038,0.0026,0.0049,0.0022,0.0007,0.0029,0.0016,0.0014,0.0004,0.0014,0.0002,-0.0003,0.0037,0.0026,0.0015,0.0009,-0.0004,0.0011,0.0007,0.0017,0.0009,0.001
216,0.0005,0.0007,0.0014,-0.0008,-0.0017,0.0004,-0.0013,-0.0008,-0.0026,0.001,-0.0001,-0.0012,-0.0019,-0.0008,0.0019,-0.0019,-0.0019,0.0012,-0.0002,-0.0004,-0.0003,-0.0005,-0.0015,-0.0009,-0.0022,0.0022,0.001
216,-0.0018,0.0015,0.0028,0.0011,-0.0005,0.0014,0.0006,0.0006,0.0026,0.002,0.0023,0.0021,0.0019,-0.0023,0.0023,-0.0001,0.0019,0.0003,0.002,0.0009,0.0001,-0.0016,0,0.0024,-0.0006,0.0025,0.001
216,0.0009,-0.0009,0.0012,0.001,0.0004,-0.0004,0.0008,0.0002,0.0006,-0.0004,0.0003,0,-0.0006,-0.0011,0.0005,0.0017,0.0003,0.0012,0.0002,0.0011,0.0013,0.0013,-0.0003,-0.0022,-0.0009,0.0013,-0.0001
216,-0.0008,0.0017,0.002,0.0014,0.0001,0.0009,0.0029,0.0009,0.0022,0,0.0002,0.002,-0.0001,0.0019,-0.0014,-0.0013,-0.0003,-0.0008,0.0024,0.0001,-0.0009,-0.0011,-0.003,-0.0008,0.0019,0.0004,0.001
