Wavelength,10:00am,No cosine
350,0.0073,0.0084
350,0.0098,0.0082
350,0.0086,0.0114
350,0.0082,0.0080
351,0.0082,0.0091
351,0.0096,0.0090
351,0.0063,0.0122
351,0.0106,0.0126
351,0.0089,0.0103
352,0.0108,0.0129
352,0.0107,0.0124
352,0.0079,0.0153
352,0.0093,0.0120
352,0.0101,0.0132
353,0.0063,0.0132
353,0.0089,0.0137
353,0.0105,0.0119
353,0.0096,0.0123
354,0.0096,0.0076
354,0.0098,0.0119
354,0.0128,0.0114
354,0.0101,0.0116
354,0.0107,0.0129
355,0.0087,0.0145
355,0.0062,0.0127
355,0.0123,0.0120
355,0.0117,0.0146
355,0.0100,0.0168
356,0.0103,0.0144
356,0.0137,0.0116
356,0.0141,0.0153
356,0.0107,0.0180
357,0.0146,0.0148
357,0.0155,0.0165
357,0.0117,0.0136
357,0.0128,0.0147
357,0.0122,0.0136
358,0.0115,0.0158
358,0.0093,0.0123
358,0.0129,0.0113
358,0.0088,0.0153
358,0.0152,0.0166
359,0.0105,0.0141
359,0.0119,0.0127
359,0.0109,0.0116
359,0.0086,0.0113
360,0.0099,0.0115
360,0.0101,0.0126
360,0.0101,0.0116
360,0.0119,0.0133
360,0.0101,0.0148
361,0.0133,0.0132
361,0.0137,0.0163
361,0.0138,0.0179
361,0.0109,0.0166
362,0.0155,0.0196
362,0.0125,0.0156
362,0.0134,0.0185
362,0.0124,0.0171
362,0.0114,0.0157
363,0.0117,0.0209
363,0.0110,0.0139
363,0.0086,0.0137
363,0.0136,0.0151
363,0.0136,0.0144
364,0.0137,0.0192
364,0.0139,0.0183
364,0.0139,0.0161
364,0.0161,0.0180
365,0.0145,0.0184
365,0.0131,0.0158
365,0.0144,0.0174
365,0.0141,0.0195
365,0.0165,0.0177
366,0.0119,0.0176
366,0.0168,0.0196
366,0.0148,0.0190
366,0.0156,0.0210
366,0.0110,0.0194
367,0.0149,0.0201
367,0.0186,0.0209
367,0.0191,0.0250
367,0.0187,0.0234
368,0.0183,0.0247
368,0.0192,0.0223
368,0.0193,0.0244
368,0.0168,0.0247
368,0.0191,0.0267
369,0.0162,0.0284
369,0.0214,0.0219
369,0.0171,0.0232
369,0.0197,0.0229
369,0.0170,0.0242
370,0.0179,0.0256
370,0.0192,0.0231
370,0.0195,0.0239
370,0.0203,0.0271
371,0.0246,0.0255
371,0.0196,0.0272
371,0.0219,0.0275
371,0.0213,0.0306
371,0.0222,0.0290
372,0.0175,0.0245
372,0.0208,0.0241
372,0.0171,0.0242
372,0.0212,0.0257
372,0.0182,0.0272
373,0.0225,0.0287
373,0.0152,0.0250
373,0.0223,0.0290
373,0.0217,0.0257
374,0.0221,0.0291
374,0.0203,0.0238
374,0.0206,0.0257
374,0.0202,0.0256
374,0.0212,0.0244
375,0.0192,0.0238
375,0.0220,0.0250
375,0.0200,0.0260
375,0.0213,0.0272
375,0.0182,0.0284
376,0.0223,0.0270
376,0.0201,0.0247
376,0.0225,0.0281
376,0.0186,0.0285
377,0.0268,0.0311
377,0.0220,0.0302
377,0.0257,0.0314
377,0.0246,0.0314
377,0.0257,0.0318
378,0.0282,0.0337
378,0.0267,0.0313
378,0.0250,0.0363
378,0.0266,0.0390
379,0.0270,0.0378
379,0.0336,0.0380
379,0.0354,0.0385
379,0.0354,0.0467
379,0.0317,0.0414
380,0.0363,0.0433
380,0.0335,0.0439
380,0.0309,0.0424
380,0.0308,0.0435
380,0.0323,0.0398
381,0.0329,0.0388
381,0.0323,0.0394
381,0.0277,0.0409
381,0.0324,0.0418
382,0.0335,0.0393
382,0.0324,0.0442
382,0.0355,0.0469
382,0.0379,0.0437
382,0.0382,0.0437
383,0.0392,0.0464
383,0.0329,0.0426
383,0.0307,0.0457
383,0.0326,0.0388
383,0.0304,0.0378
384,0.0266,0.0333
384,0.0285,0.0302
384,0.0275,0.0323
384,0.0243,0.0353
385,0.0245,0.0311
385,0.0271,0.0309
385,0.0244,0.0309
385,0.0276,0.0365
385,0.0310,0.0362
386,0.0309,0.0402
386,0.0319,0.0421
386,0.0342,0.0441
386,0.0377,0.0469
387,0.0375,0.0518
387,0.0339,0.0464
387,0.0363,0.0475
387,0.0366,0.0438
387,0.0366,0.0469
388,0.0399,0.0441
388,0.0413,0.0507
388,0.0373,0.0485
388,0.0379,0.0519
388,0.0378,0.0474
389,0.0393,0.0498
389,0.0421,0.0476
389,0.0372,0.0506
389,0.0382,0.0484
390,0.0404,0.0556
390,0.0401,0.0496
390,0.0437,0.0510
390,0.0417,0.0520
390,0.0431,0.0570
391,0.0484,0.0548
391,0.0494,0.0599
391,0.0489,0.0674
391,0.0526,0.0631
392,0.0508,0.0670
392,0.0547,0.0652
392,0.0523,0.0675
392,0.0534,0.0696
392,0.0568,0.0712
393,0.0592,0.0735
393,0.0547,0.0752
393,0.0586,0.0766
393,0.0599,0.0744
393,0.0525,0.0697
394,0.0497,0.0673
394,0.0498,0.0599
394,0.0411,0.0516
394,0.0398,0.0494
395,0.0366,0.0416
395,0.0339,0.0422
395,0.0307,0.0399
395,0.0318,0.0417
395,0.0380,0.0485
396,0.0417,0.0541
396,0.0438,0.0594
396,0.0542,0.0655
396,0.0581,0.0695
396,0.0598,0.0731
397,0.0563,0.0755
397,0.0647,0.0781
397,0.0616,0.0782
397,0.0590,0.0776
398,0.0521,0.0683
398,0.0485,0.0585
398,0.0433,0.0515
398,0.0412,0.0511
398,0.0436,0.0495
399,0.0460,0.0545
399,0.0505,0.0618
399,0.0553,0.0694
399,0.0570,0.0788
400,0.0684,0.0863
400,0.0753,0.0931
400,0.0836,0.0994
400,0.0797,0.0984
400,0.0855,0.1027
401,0.0871,0.1054
401,0.0887,0.1125
401,0.0891,0.1121
401,0.0923,0.1153
401,0.0924,0.1171
402,0.0950,0.1107
402,0.0891,0.1175
402,0.1013,0.1190
402,0.0938,0.1193
403,0.0997,0.1214
403,0.0992,0.1245
403,0.1051,0.1235
403,0.1017,0.1221
403,0.1031,0.1286
404,0.0978,0.1244
404,0.1057,0.1292
404,0.1013,0.1276
404,0.1027,0.1274
405,0.1012,0.1220
405,0.1033,0.1231
405,0.1036,0.1355
405,0.1072,0.1294
405,0.1017,0.1310
406,0.1001,0.1251
406,0.1037,0.1248
406,0.1073,0.1289
406,0.1045,0.1318
407,0.1042,0.1240
407,0.1031,0.1305
407,0.1058,0.1346
407,0.1057,0.1320
407,0.1017,0.1276
408,0.1074,0.1286
408,0.1058,0.1285
408,0.1072,0.1337
408,0.1014,0.1294
408,0.1091,0.1337
409,0.1046,0.1300
409,0.1071,0.1341
409,0.1131,0.1424
409,0.1133,0.1394
410,0.1113,0.1381
410,0.1165,0.1469
410,0.1201,0.1456
410,0.1228,0.1490
410,0.1202,0.1500
411,0.1179,0.1492
411,0.1140,0.1394
411,0.1111,0.1436
411,0.1060,0.1357
412,0.1083,0.1398
412,0.1075,0.1402
412,0.1144,0.1388
412,0.1170,0.1478
412,0.1205,0.1519
413,0.1317,0.1608
413,0.1327,0.1608
413,0.1282,0.1616
413,0.1305,0.1574
413,0.1300,0.1605
414,0.1326,0.1633
414,0.1311,0.1589
414,0.1284,0.1566
414,0.1318,0.1623
415,0.1386,0.1566
415,0.1338,0.1655
415,0.1353,0.1682
415,0.1327,0.1600
415,0.1342,0.1660
416,0.1312,0.1670
416,0.1353,0.1654
416,0.1356,0.1669
416,0.1370,0.1657
417,0.1332,0.1670
417,0.1371,0.1676
417,0.1325,0.1701
417,0.1437,0.1723
417,0.1434,0.1752
418,0.1496,0.1780
418,0.1413,0.1714
418,0.1475,0.1727
418,0.1459,0.1685
419,0.1417,0.1716
419,0.1378,0.1725
419,0.1396,0.1689
419,0.1368,0.1659
419,0.1326,0.1691
420,0.1377,0.1728
420,0.1412,0.1701
420,0.1405,0.1728
420,0.1464,0.1750
420,0.1416,0.1712
421,0.1450,0.1663
421,0.1458,0.1770
421,0.1438,0.1692
421,0.1390,0.1756
422,0.1452,0.1804
422,0.1413,0.1825
422,0.1469,0.1863
422,0.1506,0.1880
422,0.1529,0.1935
423,0.1520,0.1910
423,0.1535,0.1919
423,0.1610,0.1931
423,0.1542,0.1928
424,0.1466,0.1812
424,0.1467,0.1762
424,0.1420,0.1792
424,0.1553,0.1822
424,0.1407,0.1821
425,0.1417,0.1772
425,0.1508,0.1824
425,0.1589,0.1876
425,0.1541,0.1882
426,0.1565,0.1916
426,0.1574,0.1907
426,0.1573,0.1857
426,0.1574,0.1885
426,0.1597,0.1906
427,0.1550,0.1894
427,0.1576,0.1886
427,0.1572,0.1896
427,0.1600,0.1876
427,0.1673,0.1962
428,0.1644,0.2012
428,0.1608,0.1928
428,0.1572,0.1936
428,0.1519,0.1860
429,0.1556,0.1873
429,0.1625,0.1845
429,0.1625,0.1979
429,0.1597,0.1946
429,0.1601,0.1973
430,0.1624,0.1963
430,0.1600,0.1894
430,0.1598,0.1849
430,0.1571,0.1915
431,0.1533,0.1918
431,0.1551,0.1896
431,0.1414,0.1834
431,0.1439,0.1667
431,0.1382,0.1695
432,0.1360,0.1616
432,0.1262,0.1517
432,0.1245,0.1557
432,0.1253,0.1581
433,0.1465,0.1809
433,0.1605,0.1950
433,0.1776,0.2142
433,0.1824,0.2239
433,0.1812,0.2240
434,0.1802,0.2181
434,0.1890,0.2164
434,0.1882,0.2334
434,0.1927,0.2414
435,0.1965,0.2364
435,0.1958,0.2376
435,0.1860,0.2270
435,0.1858,0.2216
435,0.1800,0.2122
436,0.1916,0.2305
436,0.1908,0.2329
436,0.1938,0.2425
436,0.1965,0.2389
436,0.2027,0.2397
437,0.2108,0.2516
437,0.2140,0.2541
437,0.2170,0.2576
437,0.2185,0.2702
438,0.2260,0.2804
438,0.2303,0.2831
438,0.2368,0.2818
438,0.2270,0.2796
438,0.2241,0.2705
439,0.2178,0.2755
439,0.2243,0.2817
439,0.2243,0.2746
439,0.2137,0.2565
440,0.2018,0.2471
440,0.2110,0.2525
440,0.2093,0.2555
440,0.2068,0.2526
440,0.2131,0.2525
441,0.2185,0.2686
441,0.2266,0.2789
441,0.2292,0.2810
441,0.2305,0.2816
442,0.2272,0.2732
442,0.2234,0.2742
442,0.2293,0.2729
442,0.2408,0.2838
