Wavelength,Daylight Window,Daylight Direct
302.0,0.0039,0.0076
302.2,-0.0009,0.0024
302.4,0.0019,0.0009
302.6,0.0002,0.0049
302.8,0.0015,0.0057
303.0,-0.0005,0.0036
303.2,0.0002,0.0059
303.4,0.0000,0.0034
303.6,0.0021,0.0056
303.9,0.0004,0.0031
304.1,0.0019,0.0062
304.3,0.0012,0.0088
304.5,0.0029,0.0037
304.7,0.0020,0.0014
304.9,0.0025,0.0052
305.1,0.0008,0.0027
305.3,0.0009,0.0061
305.5,0.0022,0.0052
305.7,0.0012,0.0054
306.0,0.0021,0.0029
306.2,-0.0012,0.0060
306.4,0.0025,0.0060
306.6,0.0024,0.0060
306.8,0.0007,0.0040
307.0,0.0006,0.0048
307.2,-0.0006,0.0036
307.4,0.0043,0.0061
307.6,0.0001,0.0022
307.9,0.0031,0.0033
308.1,0.0004,0.0051
308.3,0.0035,0.0033
308.5,-0.0002,0.0033
308.7,0.0025,0.0070
308.9,-0.0013,0.0037
309.1,0.0002,0.0052
309.3,-0.0002,0.0042
309.5,0.0012,0.0079
309.8,-0.0008,0.0045
310.0,0.0028,0.0023
310.2,0.0012,0.0044
310.4,0.0039,0.0058
310.6,-0.0001,0.0043
310.8,0.0014,0.0054
311.0,0.0007,0.0021
311.2,0.0021,0.0034
311.4,0.0009,0.0049
311.7,0.0016,0.0044
311.9,0.0020,0.0044
312.1,0.0018,0.0029
312.3,-0.0009,0.0034
312.5,0.0009,0.0034
312.7,0.0007,0.0031
312.9,0.0007,0.0052
313.1,0.0012,0.0045
313.3,0.0018,0.0062
313.6,0.0003,0.0046
313.8,0.0009,0.0063
314.0,0.0019,0.0059
314.2,0.0031,0.0031
314.4,0.0026,0.0037
314.6,0.0011,0.0053
314.8,0.0003,0.0049
315.0,0.0025,0.0028
315.2,0.0016,0.0033
315.5,0.0013,0.0060
315.7,-0.0010,0.0052
315.9,0.0016,0.0034
316.1,0.0030,0.0018
316.3,0.0004,0.0040
316.5,-0.0018,0.0040
316.7,0.0032,0.0067
316.9,0.0012,0.0029
317.2,0.0018,0.0039
317.4,0.0026,0.0045
317.6,-0.0003,0.0041
317.8,0.0000,0.0043
318.0,0.0070,0.0054
318.2,0.0033,0.0022
318.4,-0.0025,0.0059
318.6,0.0025,0.0033
318.8,0.0024,0.0057
319.1,0.0009,0.0030
319.3,-0.0003,0.0059
319.5,0.0023,0.0037
319.7,0.0042,0.0024
319.9,0.0002,0.0048
320.1,0.0008,0.0043
320.3,0.0025,0.0033
320.5,0.0020,0.0051
320.8,0.0016,0.0043
321.0,0.0019,0.0038
321.2,0.0005,0.0037
321.4,0.0028,0.0038
321.6,0.0009,0.0034
321.8,0.0017,0.0069
322.0,0.0001,0.0043
322.2,-0.0003,0.0038
322.4,0.0000,0.0026
322.7,0.0051,0.0068
322.9,-0.0007,0.0030
323.1,0.0010,0.0054
323.3,0.0017,0.0054
323.5,0.0033,0.0037
323.7,0.0009,0.0039
323.9,0.0030,0.0039
